Vers,Phonétique,Syllabes
et que le cerveau mû de quelque esprit follet,ek@l@sERvomy|d@kElkEspRifolE,12
vous eussiez regardé par le trou du volet,vuzysjeR@gaRde|paRl@tRudyvOlE,12
vous auriez vu d'abord une chambre tigrée,vuzoRjevydtabORt|yn@SAbR@tigRe,12
de candélabres d'or ardemment éclairée ,d@kAdelabR@dtOR|aRdamAtekleRe,12
des marbres des tapis montant jusqu'aux lambris ,demaRbR@detapi|mCtAZyskolAbRi,12
çà et là les flacons d'un souper en débris ,saelaleflakC|dt|e~supeAdebRi,12
des vins mille parfums  à terre une mandore,deve~mil@paRfe~z|atERyn@mAdoR,12
qu'on venait de quitter et frémissant encore,kCv@nEd@kite|efRemisAtAkOR,12
de même que le sein d'une femme frémit,d@mEm@k@l@se~|dt|yn@fam@fRemi,12
après qu'elle a dansé  tout était endormi ,apREkEladAse|tutetEtAdORmi,12
la lune se levait  sa lueur souple et molle,lalyn@s@l@vE|salH9RsuplemOl,12
glissant aux trèfles gris de l'ogive espagnole,glisAtotREfl@gRi|d@lOZivEspanjOl,12
sur les pâles velours et le marbre changeant,syRlepal@v@luRz|el@maRbR@SAZA,12
mêlait aux flammes d'or ses longs rayons d'argent,mElEtoflam@dtOR|selCREjCdtaRZA,12
si bien que dans le coin le plus noir de la chambre,sibje~k@dAl@kwe~|l@plynwaRd@laSAbR,12
sur un lit incrusté de bois de rose et d'ambre,syRe~lite~kRyste|d@bwad@RozedtAbR,12
en y regardant bien frère vous auriez pu,AiR@gaRdAbje~|fRER@vuzoRjepy,12
dans l'ombre transparente entrevoir un pied nu,dAlCbR@tRAspaRAt|AtR@vwaRe~pjeny,12
 certes l'espagne est grande et les femmes d'espagne,sERt@lEspaJEgRAd|elefam@dtEspaJ,12
sont belles  mais il n'est château ville ou campagne,sCbEl@mEzilnE|SatovilukApanj,12
qui contre ce pied-là n'eût en vain essayé,kikCtR@s@pjela|n|ytAve~eseje,12
comme dans ,kOm@dA,3
il était si petit qu'un enfant l'eût pu prendre,iletEsip@ti|k|e~AfAlypypRAdR,12
dans sa main  n'allez pas frère vous en surprendre ,dAsame~nalepa|fRER@vuzAsyRpRAdR,12
la dame dont ici j'ai dessein de parler,ladam@dCtisi|Z|edese~d@paRle,12
était de ces beautés qu'on ne peut égaler ,etEd@sebote|k|Cn@p2tegale,12
sourcils noirs blanches mains et pour la petitesse,suRsilnwaRblAS@me~z|epuRlap@titEs,12
de ses pieds elle était andalouse et comtesse,d@sepjezEletEt|AdaluzekCtEs,12
cependant les rideaux autour d'elle tremblant,s@pAdAleRidoz|otuRdtEl@tRAblA,12
la laissaient voir pâmée aux bras de son galant ,lalesEvwaRpame|obRad@sCgalA,12
œil humide bras morts tout respirait en elle,2jymid@bRamOR|tuREspiREtAEl,12
les langueurs de l'amour et la rendait plus belle,lelAg9Rd@lamuR|elaRAdEplybEl,12
sa tête avec ses seins roulait dans ses cheveux,satEtavEksese~|RulEdAseS@v2,12
pendant que sur son corps mille traces de feux,pAdAk@syRsCkOR|mil@tRas@d@f2,12
que sa joue empourprée et ses lèvres arides,k@saZuApuRpRe|eselEvR@zaRid,12
qui se pressaient encor comme en des baisers vides,kis@pResEtAkor|kOmAdebezevid,12
et son cœur gros d'amour plus fatigué qu'éteint,esCk9rgRodtamuR|plyfatigekete~,12
tout d'une folle nuit vous eût rendu certain,tudtyn@fOl@nHi|vuzyRAdysERte~,12
près d'elle son amant d'un œil plein de caresse,pREdtEl@sCamA|dt|e~2jple~d@kaREs,12
cherchant l'œil de faucon de sa jeune maîtresse,SERSAl2jd@fokC|d@saZ9n@mEtREs,12
se penchait sur sa bouche ardent à l'apaiser,s@pASEsyRsabuS|aRdAtalapeze,12
et pour chaque sanglot lui rendait un baiser,epuRSak@sAglo|lHiRAdEte~beze,12
ainsi passait le temps  sur la place moins sombre,e~sipasEl@tA|syRlaplas@mwe~sCbR,12
déjà le blanc matin faisant grisonner l'ombre,deZal@blAmate~|f@zAgRizOnelCbR,12
l'horloge d'un couvent s'ébranla lentement ,lORlOZ@dte~kuvszebRAlalAt@mA,11
sur quoi le jouvenceau courut en un moment,syRkwal@ZuvAso|kuRytAe~mOmA,12
d'abord à son habit ensuite à son épée ,dtabORtasCabit|AsHitasCepe,12
puis voyant sa beauté de pleurs toute trempée ,pHivwajAsabote|d@pl9Rtut@tRApe,12
 allons mon adorée un baiser et bonsoir ,alCmCadORe|e~bezeebCswaR,12
 déjà partir méchant   bah  je viendrai vous voir,deZapaRtiRmeSA|baZ@vje~dRevuvwaR,12
demain midi sonnant  adieu mon amoureuse ,d@me~midisOnAt|adj2mCamuR2z,12
 don paez  don paez  certe elle est bien heureuse,dCpaEsdCpaEs|sErtElEbje~9R2z,12
la galante pour qui vous me laissez sitôt,lagalAt@puRki|vum@lesesito,12
 mauvaise  vous savez qu'on m'attend au château,mOvEz@vusave|k|CmatAtoSato,12
ma galante ce soir mort-dieu c'est ma guérite,magalAt@s@swaR|mORdj2sEmageRit,12
 eh  pourquoi donc alors l'aller trouver si vite ,epuRkwadCkalOR|l|aletRuvesivit,12
par quel serment d'enfer êtes-vous donc lié ,paRkElsERmAdtAfER|Et@vudCklje,12
 il le faut laisse-moi baiser ton petit pied ,ill@folEs@mwa|bezetCp@tipje,12
 mais regardez un peu qu'un lit de bois de rose,mER@gaRdee~p2|k|e~lid@bwad@Roz,12
des fleurs une maîtresse une alcôve bien close,defl9Rzyn@mEtREs|ynalkov@bje~kloz,12
tout cela ne vaut pas pour un fin cavalier,tus@lan@vopa|puRe~fe~kavalje,12
une vieille guérite au coin d'un vieux pilier ,yn@vjEj@geRit|okwe~dte~vj2pilje,12
 la belle épaule blanche ô ma petite fée ,labElepol@blAS@omap@tit@fe,13
voyons un beau baiser  comme je suis coiffée ,vwajCze~bobeze|kOm@Z@sHikwafe,12
vous êtes un vilain   la paix  adieu mon cœur ,vuEt@ze~vile~|lapEzadj2mCk9r,12
là là ne faites pas ce petit air boudeur,lalan@fEt@pa|s@p@titERbud9R,12
demain c'est jour de fête un tour de promenade,d@me~sEZuRd@fEt|e~tuRd@pROm@nad,12
veux-tu   non ma jument anglaise est trop malade,v2tynCmaZymAt|AglEzEtRomalad,12
 adieu donc  que le diable emporte ta jument ,adj2dCkk@l@djablApORt@taZymA,13
 don paez  mon amour reste encore un moment,dCpaEsmCamuR|REstAkORe~mOmA,12
 ma charmante allez-vous me faire une querelle ,maSaRmAtalevu|m@fERyn@k@REl,12
ah  je m'en vais si bien vous décoiffer ma belle,aZ@mAvEsibje~|vudekwafemabEl,12
qu'à vous peigner demain vous passerez un jour ,kavupenjed@me~|vupas@Ree~ZuR,12
 allez-vous-en vilain   adieu mon seul amour  ,alevuvile~adj2mCs9lamuR,11
il jeta son manteau sur sa moustache blonde,ilZ@tasCmAto|syRsamustaS@blCd,12
et sortit  l'air était doux et la nuit profonde ,esORtilERetE|duzelanHipROfCd,12
il détourna la rue à grands pas et le bruit,ildetuRnalaRy|agRApazel@bRHi,13
de ses éperons d'or se perdit dans la nuit,d@sezep@RCdtOR|s@pERdidAlanHi,12
oh  dans cette maison de verdeur et de force,odAsEt@mEzC|d@vERd9Red@fORs,12
où la chaude jeunesse arbre à la rude écorce,ulaSod@Z9nEs|aRbRalaRydekORs,12
couvre tout de son ombre horizon et chemin,kuvR@tud@sCCbRORizCeS@me~,12
heureux heureux celui qui frappe de la main,2R22R2s@lHi|kifRap@d@lame~,12
le col d'un étalon rétif ou qui caresse,l@kOldte~etalC|RetifukikaREs,12
les seins étincelants d'une folle maîtresse ,lese~zete~s@lA|dt|yn@fOl@mEtREs,12
don paez l'arme au bras est sur les arsenaux ,dCpaEslaRmobRaz|EsyRlezaRs@no,12
seul en silence il passe au revers des créneaux ,s9lAsilAsilpas|oR@vERdekReno,12
on le voit comme un point  il fume son cigare,Cl@vwakOme~pwe~t|ilfym@sCsigaR,12
en route et d'heure en heure au bruit de la fanfare,ARuted9RA9R|obRHid@lafAfaR,13
il mêle sa réponse au qui-vive effrayant,ilmEl@saRepCs|okivivefRejA,12
que des lansquenets gris s'en vont partout criant,k@delAskenEgRi|sz|AvCpaRtukRijA,13
près de lui çà et là ses compagnons de guerre,pREd@lHisaela|sekCpanjCd@gER,12
les uns dans leurs manteaux s'endormant sur la terre,leze~dAl9RmAto|sz|AdORmAsyRlatER,12
d'autres jouant aux dés  propos récits d'amours,dtotR@ZwAtode|pROpoResidtamuR,12
et le vin comme on pense et les mauvais discours,el@ve~kOmCpAs|elemOvEdiskuR,12
n'y manquent pas  pendant que l'un fait après boire,nimAkpapAdAk@|l|e~fEtapREbwaR,11
sur quelque brave fille une méchante histoire,syRkElk@bRav@fij|yn@meSAtistwaR,12
l'autre chante à demi sur la table accoudé,lotR@SAtad@mi|syRlatablakude,12
celui-ci de travers examinant son dé,s@lHisid@tRavERz|EgzaminAsCde,12
a chaque coup douteux grince dans sa moustache,aSak@kudut2|gRe~s@dAsamustaS,12
celui-là relevant le coin de son panache,s@lHilaR@l@vA|l@kwe~d@sCpanaS,12
fait le beau parleur jure  un autre retroussant,fEl@bopaRl2RZyR|e~otR@R@tRusA,12
sa barbe à moitié rouge aiguisée en croissant,sabaRbamwatjeRuZ|egizeAkRwasA,12
se verse d'un poignet chancelant et se grise,s@vERs@dte~pwanjE|SAs@lAtes@gRiz,12
a la santé du roi comme un chantre d'église,alasAtedyRwa|kOme~SAtR@dtegliz,12
pourtant un maigre suif allumé dans un coin,puRtAte~mEgR@sHif|alymedAze~kwe~,12
chancelle sur la nappe à chaque coup de poing,SAsEl@syRlanap|aSak@kud@pwe~,12
voici donc qu'au milieu des rixes des injures,vwasidCkkomilj2|deRiks@deze~ZyR,12
des bravos des éclats qu'allument les gageures,debRavodezekla|k|alymlegaZyR,11
l'un d'eux   messieurs dit-il vous êtes gens du roi,le~dt2mesj2ditil|vuEt@ZAdyRwa,12
braves gens cavaliers volontaires  bon  moi,bRav@ZAkavalje|vOlCtER@bCmwa,12
je vous déclare ici trois fois gredin et traître,Z@vudeklaRisi|tRwafwagR@de~etREtR,12
celui qui ne va pas proclamer reconnaître,s@lHikin@vapa|pROklameR@kOnEtR,12
que les plus belles mains qu'en ce chien de pays,k@leplybEl@me~|k|As@Sje~d@pei,12
on puisse voir encor de burgos à cadix,CpHis@vwaRAkor|d@byRgoszakadiks,12
sont celles de dona cazales de séville,sCsEl@d@dona|kazal@d@sevij,12
laquelle est ma maîtresse au dire de la ville  ,lakElEmamEtREs|odiR@d@lavil,12
ces mots à peine dits causèrent un haro,semozapEn@di|kozERte~aro,11
qui du prochain couvent ébranla le carreau,kidypROSe~kuvtebRAlal@kaRo,11
il n'en fut pas un seul qui de bonne fortune,ilnAfypaze~s9l|kid@bOn@fORtyn,12
ne se dît passé maître et n'en vantât quelqu'une ,n@s@dipasemEtR|enAvAtakelkyn,12
celle-ci pour ses pieds celle-là pour ses yeux ,sEl@sipuRsepje|sEl@lapuRsezj2,12
l'autre c'était la taille et l'autre les cheveux,lotR@setElataj|elotR@leS@v2,12
don paez cependant debout et sans parole,dCpaEss@pAdA|d@butesApaROl,12
souriait  car le sein plein d'une ivresse folle,suRjEkaRl@se~|ple~dtynivREs@fOl,12
il ne pouvait fermer ses paupières sans voir,iln@puvEfERme|sepopjER@sAvwaR,12
sa maîtresse passer blanche avec un œil noir ,samEtREs@pase|blASavEke~2jnwaR,12
 messieurs cria d'abord notre moustache rousse,mesj2kRijadtabORnOtR@mustaS@Rus,13
la petite inésille est la peau la plus douce,lap@titinesij|Elapolaplydus,12
où j'aie encor frotté ma barbe jusqu'ici,uZEAkorfROte|mabaRb@Zyskisi,12
 monsieur dit un voisin rabaissant son sourcil,m@sj2dite~vwaze~|RabEsAsCsuRsil,12
vous ne connaissez pas l'arabelle  elle est brune,vun@kOnEsepa|l|aRabElElEbRyn,12
comme un jais  quant à moi je n'en puis citer une,kOme~ZEkAtamwa|Z@nApHisiteyn,12
dit quelqu'un j'en ai trois  frères cria de loin,dikelke~ZAetRwa|fRER@kRijad@lwe~,13
un dragon jaune et bleu qui dormait dans du foin,e~dRagCZonebl2|kidORmEdAdyfwe~,12
vous m'avez éveillé  je rêvais à ma belle,vumaveeveje|Z@RevEzamabEl,12
 vrai mon petit ribaud  dirent-ils quelle est-elle  ,vREmCp@tiribo|diRtilkElEtEl,11
lui bâillant à moitié   par dieu  c'est l'orvado,lHibajAtamwatje|paRdj2sEloRvado,12
dit-il la juana place san-bernardo ,ditillaRuana|plas@sAbERnaRdo,12
dieu fit que don paez l'entendit  et la fièvre,dj2fik@dCpaEs|l|AtAditelafjEvR,12
le prenant aux cheveux il se mordit la lèvre ,l@pR@nAtoS@v2z|ils@mORdilalEvR,12
 tu viens là de lâcher quatre mots imprudents,tyvje~lad@laSe|katR@moze~pRydA,12
mon cavalier dit-il car tu mens par tes dents ,mCkavaljeditil|kaRtymApaRtedA,12
la comtesse juana d'orvado n'a qu'un maître,lakCtEs@RuanadtoRvadonake~mEtR,13
tu peux le regarder si tu veux le connaître,typ2l@R@gaRde|sityv2l@kOnEtR,12
 vrai  reprit le dragon  lequel de nous ici,vRER@pRil@dRagC|l@kEld@nuzisi,12
se trompe  elle est à moi cette comtesse aussi,s@tRCpElEtamwa|sEt@kCtEsosi,12
 toi  s'écria paez  mousqueton d'écurie,twaszekRijapaEsmusk@tCdtekyRi,13
prendras-tu ton épée ou s'il faut qu'on t'en prie ,pRAdRatytCepe|uszilfokCttApRi,12
elle est à toi dis-tu  don étur  sais-tu bien,ElEtatwadity|dCetuRsEtybje~,12
que j'ai suivi quatre ans son ombre comme un chien ,k@ZesHivikatRA|sCCbR@kOme~Sje~,12
ce que j'ai fait ainsi penses-tu que le fasse,s@k@ZefEte~si|pAs@tyk@l@fas,12
ce peu de hardiesse empreinte sur ta face,s@p2d@aRdjEs|ApRe~t@syRtafas,12
lorsque j'en saigne encor et qu'à cette douleur,lORsk@ZAsEnjAkor|ekasEt@dul9R,12
j'ai pris ce que mon front a gardé de pâleur ,ZepRis@k@mCfRCt|agaRded@pal9R,12
 non mais je sais qu'en tout bouquets et sérénades,nCmEZ@sEkAtu|bukEzeseRenad,12
elle m'a bien coûté deux ou trois cents cruzades,El@mabje~kute|d2zutRwasAkRyzad,12
 frère ta langue est jeune et facile à mentir,fRER@talAgEZ9n|efasilamAtiR,12
 ma main est jeune aussi frère et rude à sentir,mame~EZ9nosi|fREReRydasAtiR,12
 que je la sente donc et garde que ta bouche,k@Z@lasAt@dCk|egaRd@k@tabuS,12
ne se rouvre une fois sinon je te la bouche,n@s@RuvRyn@fwa|sinCZ@t@labuS,12
avec ce poignard traître afin d'y renfoncer,avEks@pwanjaRtREtR|afe~dtiRAfCse,12
les faussetés d'enfer qui voudraient y passer,lefos@tedtAfER|kivudREtipase,12
 oui-da  celui qui parle avec tant d'arrogance,widas@lHikipaRl|avEktAdtaROgAs,12
a défaut de son droit prouve sa confiance ,adefod@sCdRwa|pRuv@sakCfjAs,12
et quand avons-nous vu la belle  justement,ekAtavCnuvy|labEl@Zyst@mA,12
cette nuit ,sEt@nHi,3
 ce matin,s@mate~,3
 ta lèvre sûrement,talEvR@syR@mA|,6
n'a pas de ses baisers sitôt perdu la trace ,napad@sebeze|sitopERdylatRas,12
 je vais te les cracher si tu veux à la face,Z@vEt@lekRaSe|sityv2zalafas,12
 et ceci dit étur ne t'est pas inconnu  ,es@siditetuR|n@ttEpaze~kOny,12
comme à cette parole il montrait son sein nu,kOmasEt@paROl|ilmCtREsCse~ny,12
don paez sur son cœur vit une mèche noire,dCpaEssyRsCk9r|vityn@mES@nwaR,12
que gardait sous du verre un médaillon d'ivoire ,k@gaRdEsudyvER|e~medajCdtivwaR,12
mais dès que son regard plus terrible et plus prompt,mEdEk@sCR@gaR|plyteRibleplypRC,12
qu'une flèche eut atteint le redoutable don,kyn@flESytate~|l@R@dutabl@dC,12
il recula soudain de douleur et de haine,ilR@kylasude~|d@dul9Red@En,12
comme un taureau qu'un fer a piqué dans l'arène ,kOme~tORoke~fER|apikedAlaREn,12
 jeune homme cria-t-il as-tu dans quelque lieu,Z9nOm@kRija|tt|astydAkElk@lj2,12
une mère une femme  ou crois-tu pas en dieu ,yn@mERyn@fam|ukRwatypazAdj2,12
jure-moi par ton dieu par ta mère et ta femme,ZyR@mwapaRtCdj2|paRtamERetafam,12
par tout ce que tu crains par tout ce que ton âme,paRtus@k@tykRe~|paRtus@k@tCam,12
peut avoir de candeur de franchise et de foi,p2tavwaRd@kAd9R|d@fRASized@fwa,12
jure que ces cheveux sont à toi rien qu'à toi ,ZyR@k@seS@v2|sCtatwaRje~katwa,12
que tu ne les as pas volés à ma maîtresse,k@tyn@lezaspa|vOlezamamEtREs,12
ni trouvés  ni coupés par derrière à la messe ,nitRuvenikupe|paRdERjERalamEs,12
 j'en jure dit l'enfant ma pipe et mon poignard,ZAZyR@dilAfA|mapipemCpwanjaR,12
 bien  reprit don paez le traînant à l'écart,bje~R@pRidCpaEs|l@tREnAtalekaR,12
viens ici je te crois quelque vigueur à l'âme,vje~zisiZ@t@kRwa|kElk@vig9Ralam,12
en as-tu ce qu'il faut pour tuer une femme ,Aastys@kilfo|puRtHeyn@fam,12
frère dit don étur j'en ai trois fois assez,fRER@didCetuR|Z|AetRwafwazase,12
pour donner leur paiement à tous serments faussés,puRdOnel9RpEmAt|atussERmAfose,12
 tu vois prit don paez qu'il faut qu'un de nous meure,tyvwapRidCpaEs|k|ilfoke~d@num9R,12
jurons donc que celui qui sera dans une heure,ZyRCdCkk@s@lHi|kis@RadAz9R,13
debout et qui verra le soleil de demain,d@butekivERa|l@sOlEjd@d@me~,12
tuera la juana d'orvado de sa main,tyRalaRuana|dt|oRvadod@same~,12
 tope dit le dragon et qu'elle meure comme,tOp@dil@dRagC|ekEl@m9R@kOm,12
il est vrai qu'elle va causer la mort d'un homme ,ilEvREkEl@va|kozelamORdte~Om,12
et sans vouloir pousser son discours plus avant,esAvulwaRpuse|sCdiskuRplyzavA,12
comme il disait ce mot il mit la dague au vent,kOmildizEs@mot|ilmiladagovA,12
comme on voit dans l'été sur les herbes fauchées,kOmCvwadAlete|syRleERb@foSe,12
deux louves remuant les feuilles desséchées,d2luv@R@mHA|lef9j@deseSe,12
s'arrêter face à face et se montrer la dent ,szaRetefasafas|es@mCtReladA,12
la rage les excite au combat  cependant,laRaZ@lezEksit|okCbas@pAdA,12
elles tournent en rond lentement et s'attendent ,El@tuRntARClAt@mAteszatAd,11
leurs mufles amaigris l'un vers l'autre se tendent,l9Rmyfl@zamEgRi|l|e~vERlotR@s@tAd,12
tels et se renvoyant de plus sombres regards,tElzes@RAvwajA|d@plysCbR@R@gaR,12
les deux rivaux penchés sur le bord des remparts,led2RivopASe|syRl@bORdeRApaR,12
s'observent   par instants entre leur main rapide,szOpsERvpaRe~stAzAtR@l9Rme~Rapid,11
s'allume sous l'acier un éclair homicide,szalym@sulasje|e~eklEROmisid,12
tandis qu'à la lueur des flambeaux incertains,tAdikalalH9R|deflAboze~sERte~,12
tous viennent à voix basse agiter leurs destins,tusvjEntavwabasaZitel9RdEste~,11
eux muets haletants vers une mort hâtive,2mHEal@tA|vERzyn@mORativ,12
pareils à des pêcheurs courbés sur une rive,paREjzadepES9R|kuRbesyRyn@Riv,12
se poussent à l'attaque et prompts à riposter,s@pustalatake|pRCzaRipOste,11
par l'injure et le fer tâchent de s'exciter,paRle~ZyRel@fER|taSd@szEksite,11
étur est plus ardent mais don paez plus ferme,etuREplyzaRdA|mEdCpaEsplyfERm,12
ainsi que sous son aile un cormoran s'enferme,e~sik@susCEl|e~kORmORAszAfERm,12
tel il s'est enfermé sous sa dague   le mur,tElilszEtAfERme|susadag@l@myR,12
le soutient  à le voir on dirait à coup sûr,l@sutje~tal@vwaR|CdiREtakusyR,12
une pierre de plus dans les pierres gothiques,yn@pjER@d@ply|dAlepjER@gOtik,12
qu'agitent les falots en spectres fantastiques,kaZitlefalozA|spEktR@fAtastik,11
il attend  pour étur tantôt d'un pied hardi,ilatApuRetuR|tAtodte~pjeaRdi,12
comme un jeune jaguar en criant il bondit ,kOme~Z9n@ZagwaR|AkRijAtilbCdi,13
tantôt calme à loisir il le touche et le raille,tAtokalmalwaziR|ill@tuSel@Raj,12
comme pour l'exciter à quitter la muraille,kOm@puRlEksite|akitelamyRaj,12
le manège fut long pour plus d'un coup perdu,l@manEZ@fylC|puRplydte~kupERdy,12
plus d'un bien adressé fut aussi bien rendu,plydte~bje~adRese|fytosibje~RAdy,12
et déjà leurs cuissards où dégouttaient des larmes,edeZal9RkHisaRz|udegutEdelaRm,12
laissaient voir clairement qu'ils saignaient sous leurs armes,lesEvwaRklER@mA|k|ilsenjEsul9RzaRm,12
don paez le premier parmi tous ces débats,dCpaEsl@pR@mje|paRmitussedeba,12
voyant qu'à ce métier ils n'en finissaient pas ,vwajAkas@metje|ilnAfinisEpa,12
 a toi dit-il mon brave  et que dieu te pardonne  ,atwaditilmCbRav|ek@dj2t@paRdOn,12
le coup fut mal porté mais la botte était bonne ,l@kufymalpORte|mElabOtetEbOn,12
car c'était une botte à lui rompre du coup,kaRsetEtyn@bOt|alHiRCpR@dyku,12
s'il l'avait attrapé la tête avec le cou,szillavEtatRape|latEtavEkl@ku,12
étur l'évita donc non sans peine et l'épée,etuRlevitadCk|nCsApEnelepe,12
se brisa sur le sol dans son effort trompée,s@bRizasyRl@sOl|dAsCefORtRCpe,12
alors chacun saisit au corps son ennemi,alORSake~sezit|okORsCEn@mi,12
comme après un voyage on embrasse un ami,kOmapREze~vwajaZ|CAbRase~ami,12
 heur et malheur  on vit ces deux hommes s'étreindre,2Remal9RCvi|sed2Om@szetRe~dR,12
si fort que l'un et l'autre ils faillirent s'éteindre,sifORk@le~elotR|ilfajiRszete~dR,11
et qu'à peine leur cœur eut pour un battement,ekapEn@l9Rk9r|ypuRe~bat@mA,12
ce qu'il fallait de place en cet embrassement,s@kilfalEd@plas|AsEttAbras@mA,12
 effroyable baiser   où nul n'avait d'envie,efRwajabl@beze|unylnavEdtAvi,12
que de vivre assez long pour prendre une autre vie ,k@d@vivRaselC|puRpRAdRynotR@vi,12
où chacun en mourant regardait l'autre et si,uSake~AmuRA|R@gaRdElotResi,12
en le faisant râler il râlait bien aussi ,Al@f@zARale|ilRalEbje~osi,12
où pour trouver au cœur les routes les plus sûres,upuRtRuveok9r|leRut@leplysyR,12
les mains avaient du fer les bouches des morsures,leme~zavEdyfER|lebuS@demORsyR,12
 effroyable baiser   le plus jeune en mourut,efRwajabl@beze|l@plyZ9nAmuRy,12
il blêmit tout à coup comme un mort et l'on crut,ilblemitutaku|kOme~mORtelCkRy,12
quand on voulut après le tirer à la porte,kAtCvulytapRE|l@tiRealapORt,12
qu'on ne pourrait jamais tant l'étreinte était forte,kCn@puREZamE|tAletRe~tetEfORt,12
des bras de l'homicide ôter le trépassé,debRad@lOmisid@otel@tRepase,13
 c'est ainsi que mourut étur de guadassé,sEte~sik@muRyt|etuRd@gadase,12
amour fléau du monde exécrable folie,amuRfleodymCd|EgzekRabl@fOli,12
toi qu'un lien si frêle à la volupté lie,twake~lje~sifREl|alavOlypteli,12
quand par tant d'autres nœuds tu tiens à la douleur,kApaRtAdtotR@n9|tytje~zaladul9R,12
si jamais par les yeux d'une femme sans cœur,siZamEpaRlezj2|dt|yn@fam@sAk9r,12
tu peux m'entrer au ventre et m'empoisonner l'âme,typ2mAtReovAtR|emApwazOnelam,12
ainsi que d'une plaie on arrache une lame,e~sik@dtyn@plE|CaRaSyn@lam,12
plutôt que comme un lâche on me voie en souffrir,plytok@kOme~laS|Cm@vwaAsufRiR,12
je t'en arracherai quand j'en devrais mourir,Z@ttAaRaS@Re|kAZAd@vREmuRiR,12
connaîtriez-vous point frère dans une rue,kOnEtRijevu|pwe~fRER@dAzyn@Ry,13
déserte une maison sans porte à moitié nue,dezERtyn@mEzC|sApORtamwatjeny,12
près des barrières triste   on n'y voit jamais rien,pREdebaRjER@tRist|CnivwaZamERje~,12
sinon un pauvre enfant fouettant un maigre chien ,sinCe~povRAfA|fwetAte~mEgR@Sje~,12
des lucarnes sans vitre et par le vent cognées,delykaRn@sAvitR|epaRl@vAkOnje,12
qui pendent comme font des toiles d'araignées ,kipAdkOm@fCde|twal@dtaRenje,11
des pignons délabrés où glisse par moment,depinjCdelabRez|uglis@paRmOmA,12
un lézard au soleil   d'ailleurs nul mouvement,e~lezaRtosOlEj|dt|aj9Rnylmuv@mA,12
ainsi qu'on voit souvent  sur le bord des marnières,e~sikCvwasuvA|syRl@bORdemaRniER,13
